userId,username,firstName,lastName,email,passwordHash,password,preferred_genres
1,tammygardner947,Tammy,Gardner,tammygardner947@example.com,1a4b62abe3774a09abd56bb5054a60110fb490f9c95011ee5287a9187bfc4b92,$2b$12$CaCQtDy3zZb/PtTrqT5e3exbQTrMYuTIq7GWYplmiSJemNUpNNqd2,Action|Adventure|Comedy
2,jasonadams218,Jason,Adams,jasonadams218@example.com,7e2e1ea858d7de3b1ba729f0364647ee9c6e2e1c39e88c1871b97223b9196dbd,$2b$12$eBul5pUtSKFlJZ1/jP15jeXqNuz0wfDjVb2x/TMkFRR8ZklESCrZC,Drama|Action|Crime
3,zacharybeasley216,Zachary,Beasley,zacharybeasley216@example.com,b1be9b3c57a36ffd9044a3ca21bc10e15e8c06ead7d55c34e89def391c207728,$2b$12$GLNrjcZl358nUK0Kh0hwG.rQeLxsI.4S0UhfYj1AsBPQjPHNK6dDW,Sci-Fi|Action|Horror
4,marialopez407,Maria,Lopez,marialopez407@example.com,05ebd37d48afed8c137f7c2ff7db6acfddc74a65a40b1bbc62f723dab1ddef7c,$2b$12$TkyxgeGL/0BSKwqmVt2iPuxInkHTMo3aM.723qXz4lZtYOXMgBWMW,Drama|Comedy|Romance
5,ericzamora800,Eric,Zamora,ericzamora800@example.com,f2f850b81914146a88b8bec011b825e7230f4fcb84d28d6575e93c5a4ab67986,$2b$12$H3fCpWlzgRQjKwFqE9g8K.TetypOzJCHdHj8BUHFbrnm8tEyTCLnS,Drama|Comedy|Crime
6,kristenhill454,Kristen,Hill,kristenhill454@example.com,6f991ea000f5666ed7f01c970dc4c6d866e447bcfd51d80e4b947f895fcdd9b3,$2b$12$4dBR.QugdXIjSWXfSbwQUu/0BDcorLh0mDp2Zeo4Zs6HmZTxEmSOS,Drama|Comedy|Romance
7,michaelfriedman48,Michael,Friedman,michaelfriedman48@example.com,00de8d2bad7d065cf929b0d189f96698b88b26c5fb90a2c87a46656f73307a54,$2b$12$mR8.l2zU/6b3RRHJMkhxnuv1xFjaq4zdPfEqTK.mlM4OTUOouxsB2,Action|Adventure|Drama
8,jeremiahphelps358,Jeremiah,Phelps,jeremiahphelps358@example.com,e19c0e32acff7da6bb50d70f51ff2afc1338039061a9db15e7318e38247f75f0,$2b$12$pYvK2ah5e97QscgTCEhv1OdUu7vHo7N1I04r/FzMVF0GauNNB9Wmq,Comedy|Drama|Thriller
9,joshuahernandez493,Joshua,Hernandez,joshuahernandez493@example.com,2ba614d0f3f3e24db53ad85cd0f49b1a69f472d59ad072dfda4a0f778fc41416,$2b$12$McEiKTanze36HwtPvIIWaOzkYctZdtCxHlFpEhJeAfVy90MQVi4xm,Drama|Comedy|Adventure
10,davidrush861,David,Rush,davidrush861@example.com,7ad2bd01e2155dd619446170b985dca7293e8a9ea15ea18ad7b216904544297a,$2b$12$NUjdD0VlQYDXYQTWv2Jtw.lWtOuV7ZAAsUYYWCl/budsD3fKyXfCu,Romance|Comedy|Drama
11,michellefisher602,Michelle,Fisher,michellefisher602@example.com,d66e698258d3693388734f6a28913230effe483d2c6c35fd836a016bf5dcd909,$2b$12$7NEsZKg074l4gQOxVkdGruI1cgt/3iSe68ReaT1M6e7N7OQPkbOT6,Action|Thriller|Drama
12,teresagray770,Teresa,Gray,teresagray770@example.com,8e1030c317738a56d3f3b2352c9c26443273f7b8db2562e93e800ae67b0c4a45,$2b$12$jGjxUdl7O12NPyr1XEDXTeTfyoXMf.6qUMYLlT9ViuyPapPGSamjO,Romance|Comedy|Drama
13,katherinemclean662,Katherine,Mclean,katherinemclean662@example.com,4d69cd76f490017d41b358f523098859c1c6998e9c1d923e5ffee5cd069ca66c,$2b$12$aKPIhicAeVrMnY8SEAnSwOtk8wPRvafc7ZAn.5bt/hfo11KpZOxPO,Drama|Action|Thriller
14,susanjohnson953,Susan,Johnson,susanjohnson953@example.com,b698c065e55b95f2f94f2a347a95bdbe941fe294ae24e2f8a0a9ff434b08312d,$2b$12$ELzm/FPPRABj33syCfGkVeBpQxYwpv5jOgBTNUHmSIp1j57mR6/U6,Drama|Romance|Comedy
15,toddirwin198,Todd,Irwin,toddirwin198@example.com,ad361bff2aa88a7de762bd3a96b5ae9b4bdd2ad37c7a638c08aac24e4d29c75a,$2b$12$n5lqCJf4zXL89cO0b8y2WO6W6/OTUH78bIrZ4SuTKlJES/QyZXLTW,Sci-Fi|Drama|Adventure
16,scottadams857,Scott,Adams,scottadams857@example.com,2f91e7029f2c3a9efe4e42dffc085851183ffe73f2b28bf94a172545c07a0af8,$2b$12$.W1I67eVF/ilJ0/1WaFMlueCnehijkg15GRdg1F3zPtPSOZujsS.2,Drama|Thriller|Comedy
17,elizabethadkins796,Elizabeth,Adkins,elizabethadkins796@example.com,b68d1648637305f359ba0e881d75ba4ac03bfd7a17d660409715465983fc4400,$2b$12$iP.24XI3MlbEdl8m4PHJnettvybdJPHvB4k5oEa31vpCANaLZHI86,Drama|Action|Adventure
18,denisepoole896,Denise,Poole,denisepoole896@example.com,be428ae3b39f301471c7ec00d4415a0283909584478ad13c4c81165c3c6ffbe9,$2b$12$ATFBf6aADyXAkrX.nMsda.Ylwr2mglEy3zwwfqcDWqJW4bLqxgpe6,Drama|Action|Thriller
